Feature,ID,Headless,CLI,Web,Gherkin,Pass,Fail,Last tested
Batch execute,#Execute,-,V1,-,-,-,-,-
Cancellation,#Cancel,V1,V1,V4,spec/test-cases/cancelation.feature,0,3,2026-05-25 17:31
CLI flags and discovery,#CliFlags,-,V1,-,spec/test-cases/cli-flags.feature,6,0,2026-05-25 17:31
Column split,#Split,V2,V2,V4,spec/test-cases/colsplit.feature,8,0,2026-05-25 17:31
Data normalization,#Datanorm,V1,V1,V4,spec/test-cases/datanorm.feature,1,7,2026-05-25 17:31
Debug output,#Debug,V1,V1,-,spec/test-cases/debug.feature,3,0,2026-05-25 17:31
Deduplication,#Dedupe,V1,V1,V4,spec/test-cases/dedupe.feature,1,2,2026-05-25 17:31
Filter rows,#Filter,V1,V1,V4,spec/test-cases/filter.feature,1,2,2026-05-25 17:31
Group and aggregate,#Group,V2,V2,V4,spec/test-cases/aggregate.feature,6,0,2026-05-25 17:31
LLM cell placeholders,#Placeholders,V1,V1,V4,spec/test-cases/placeholders.feature,6,0,2026-05-25 17:31
Lookup join,#Join,V2,V2,V4,spec/test-cases/join.feature,7,0,2026-05-25 17:31
Pivot and unpivot,#Pivot,V2,V2,V4,spec/test-cases/pivot.feature,6,0,2026-05-25 17:31
Python export,#SavePy,V2.5,V2.5,-,spec/test-cases/save-py.feature,4,0,2026-05-25 17:31
Record and replay cassettes,#Cassettes,V2,V2,-,spec/test-cases/cassettes.feature,5,0,2026-05-25 17:31
REPL commands,#Repl,-,V1,-,spec/test-cases/repl-commands.feature,37,2,2026-05-25 17:31
Row and dataset validation,#Validate,V2,V2,V4,spec/test-cases/validate.feature,6,0,2026-05-25 17:31
Select columns,#Select,V1,V1,V4,-,-,-,-
Sort rows,#Sort,V1,V1,V4,spec/test-cases/sort.feature,3,0,2026-05-25 17:31
SQL expressions,#SQL,V2,V2,V4,spec/test-cases/sql.feature,3,7,2026-05-25 17:31
Tabular format output,#Convert,V2,V2,V4,spec/test-cases/convert.feature,10,0,2026-05-25 17:31
Web UI,#WebUI,-,-,V4,spec/test-cases/web.feature,20,0,2026-05-25 17:31
