Id,Product,Brand,Price,Country
P00001,Heavy-Duty Rain Jacket,Grainhouse,328.75,Netherlands
P00002,Compact Immersion Blender 2.0,Falkon,125.33,Australia
P00003,Slim Espresso Machine XL,Aurora Labs,167.39,Italy
P00004,Vintage Webcam,Windmill Kitchen,358.85,Italy
P00005,Deluxe Bluetooth Speaker,Helios,188.98,Italy
P00006,Portable Hiking Boots Lite,BasecampGear,344.67,Japan
P00007,Slim Yoga Mat,Lumen&Co,221.84,France
P00008,Mini Fleece Hoodie,Verve Athletics,258.10,Australia
P00009,Vintage Tennis Racket XL,Aurora Labs,176.95,Australia
P00010,Slim Puffer Vest S,Kestrel,102.42,USA
P00011,Slim Toaster Oven S,Helios,348.73,Canada
P00012,Compact Espresso Machine Set of 2,Aurora Labs,329.38,Canada
P00013,Vintage Cutting Board,Orbit Supply,234.05,UK
P00014,Slim Fleece Hoodie,Windmill Kitchen,239.08,Netherlands
P00015,Vintage Office Chair Plus,Silverbirch,102.42,Germany
P00016,Mini Monitor Stand Plus,Kestrel,38.26,Canada
P00017,Slim Baseball Cap XL,Helios,74.48,Australia
P00018,Vintage Wool Scarf Plus,CedarCraft,166.79,Japan
P00019,Eco Linen Shirt 2.0,Verve Athletics,343.30,USA
P00020,Slim Soccer Ball Lite,Falkon,379.81,Poland
P00021,Wireless Rain Jacket Max,BasecampGear,287.89,Germany
P00022,Premium Kettlebell,Kestrel,374.84,France
P00023,Heavy-Duty Backpack 2.0,Falkon,313.09,Poland
P00024,Portable Baseball Cap Set of 2,Falkon,261.87,Spain
P00025,Premium Cutting Board,Silverbirch,374.77,Japan
P00026,Eco Backpack,Grainhouse,72.22,Poland
P00027,Smart Chef Knife,Northwind,21.82,Japan
P00028,Ultra Trail-Running Socks Plus,Grainhouse,394.54,Poland
P00029,Portable Linen Shirt,Orbit Supply,98.57,Germany
P00030,Travel Toaster Oven S,Lumen&Co,341.49,Germany
P00031,Eco Puffer Vest S,PeakForm,365.51,Japan
P00032,Deluxe Fitness Tracker Lite,Verve Athletics,321.81,Sweden
P00033,Premium Yoga Mat Lite,Falkon,164.45,Sweden
P00034,Pro Cast-Iron Skillet Max,Aurora Labs,35.78,Canada
P00035,Wireless Running Shoes,Lumen&Co,176.54,Netherlands
P00036,Slim Stand Mixer,Silverbirch,166.43,Italy
P00037,Wireless Cast-Iron Skillet Max,Silverbirch,229.73,USA
P00038,Classic Toaster Oven,CedarCraft,378.92,Poland
P00039,Eco Cast-Iron Skillet,Silverbirch,181.66,France
P00040,Premium Rain Jacket Lite,Helios,304.92,Germany
P00041,Deluxe Backpack Plus,Kestrel,231.01,Spain
P00042,Premium Dumbbell Set Plus,PeakForm,313.90,USA
P00043,Compact Dumbbell Set,Grainhouse,301.78,Spain
P00044,Smart Tennis Racket Plus,Silverbirch,169.81,France
P00045,Compact Laptop Sleeve Plus,CedarCraft,240.07,Poland
P00046,Eco Espresso Machine XL,BasecampGear,155.37,Italy
P00047,Ultra Bluetooth Speaker XL,Tundra Works,268.36,Japan
P00048,Ultra Resistance Bands,Lumen&Co,169.05,Germany
P00049,Heavy-Duty Rice Cooker XL,Quartz Home,45.30,Sweden
P00050,Heavy-Duty Running Shoes Lite,CedarCraft,379.44,Poland
P00051,Vintage Soccer Ball Lite,Helios,364.52,Poland
P00052,Wireless Rain Jacket,Falkon,338.59,Spain
P00053,Wireless Soccer Ball XL,Orbit Supply,54.98,Australia
P00054,Smart Blender Lite,BasecampGear,338.56,France
P00055,Pro Cast-Iron Skillet Set of 2,Grainhouse,295.87,Italy
P00056,Deluxe Running Shoes,Tundra Works,117.16,Germany
P00057,Compact Cutting Board Set of 2,Quartz Home,330.11,UK
P00058,Portable Monitor Stand,Windmill Kitchen,93.71,UK
P00059,Vintage Bluetooth Speaker,Orbit Supply,180.94,Canada
P00060,Eco Coffee Grinder Plus,Grainhouse,41.28,Netherlands
P00061,Deluxe Laptop Sleeve S,BasecampGear,141.05,Spain
P00062,Premium Kettlebell Set of 2,Falkon,176.69,Poland
P00063,Eco Resistance Bands Set of 2,Northwind,70.42,Germany
P00064,Classic Desk Lamp S,PeakForm,173.36,France
P00065,Wireless Tennis Racket,CedarCraft,42.73,Australia
P00066,Portable USB-C Hub XL,Northwind,80.60,Australia
P00067,Vintage Blender Set of 2,Kestrel,388.97,Canada
P00068,Travel Gaming Mouse,Grainhouse,51.08,Netherlands
P00069,Mini Immersion Blender Lite,PeakForm,84.66,UK
P00070,Folding Notebook Set 2.0,Windmill Kitchen,266.56,Netherlands
P00071,Premium Coffee Grinder 2.0,Orbit Supply,107.81,Spain
