title,url,channel,duration,thumbnail,videoId,duration_time,Music
"12 HOURS OF NATURE RELAXATION w/ Music - Mountains, Forests, Oceans, & More 1080p",https://www.youtube.com/watch?v=aNS5o3VJ0-A&list=LL&index=1710&t=4463s&pp=gAQBiAQB,Nature Relaxation Films,11:00:38,,aNS5o3VJ0-A,11:00:38,TRUE
Lakeside Campfire with Relaxing Nature Night Sounds (HD),https://www.youtube.com/watch?v=NUKKzdVy0EI&list=LL&index=1654&t=2584s&pp=gAQBiAQB,Virtual Fireplace,4:01:14,,NUKKzdVy0EI,4:01:14,FALSE
4K Campfire by the River - Relaxing Fireplace & Nature Sounds - Robin Birdsong - UHD Video - 2160p,https://www.youtube.com/watch?v=Ftm2uv7-Ybw&list=LL&index=1703&pp=gAQBiAQB,TheSilentWatcher,3:06:15,,Ftm2uv7-Ybw,3:06:15,FALSE
4K Cosy Cove - Gentle Lapping Waves - Relaxing Sea/ Ocean Sounds - Ultra HD Nature Video - 2160p,https://www.youtube.com/watch?v=lxNXf9fBv0g&list=LL&index=1708&t=7044s&pp=gAQBiAQB,TheSilentWatcher,3:00:10,,lxNXf9fBv0g,3:00:10,FALSE
"Live Stream // 'Snow Drift' Unattended Generative Ambient (Disting EX, Nebulae, DPO, Vector)",https://www.youtube.com/watch?v=THM4fUdz8Mc&list=LL&index=724&pp=gAQBiAQB,State Azure,2:58:11,,THM4fUdz8Mc,2:58:11,TRUE
"Daydream - Psybient, Psychill, Downtempo Mix",https://www.youtube.com/watch?v=W1_1YqBuySk&list=LL&index=1051&t=4902s&pp=gAQBiAQB,PsyChamber,2:41:23,,W1_1YqBuySk,2:41:23,TRUE
"rooftop GROOVES mix • DISCO, HOUSE & GLOBAL GROOVES • Dj Isaac Varzim live @ OUT Rooftop",https://www.youtube.com/watch?v=HV2wmzdoEEw&list=LL&index=340&t=7420s&pp=gAQBiAQB,Isaac Varzim,2:25:07,,HV2wmzdoEEw,2:25:07,TRUE
"Heavy, Fast Classical Music - Mozart, Beethoven, Vivaldi, Bach...",https://www.youtube.com/watch?v=2QKuxt_QKts&list=LL&index=1071&pp=gAQBiAQB,HALIDONMUSIC,2:09:45,,2QKuxt_QKts,2:09:45,TRUE
WORLD'S PARADISES in 4K (Part II) Nature Relaxation™ Journey 2 w Music for Therapeutic Stress Relief,https://www.youtube.com/watch?v=z3byVTFTyec&list=LL&index=1705&t=23s&pp=gAQBiAQB0gcJCSkKAYcqIYzv,Nature Relaxation Films,2:01:08,,z3byVTFTyec,2:01:08,TRUE
DJ FUNKY JUNKIE -Funkytrain Groove mix for Radio Nula (Edits & Remixes from ex Yugoslavia),https://www.youtube.com/watch?v=GzVoD9yMnSc&list=LL&index=358&t=3539s&pp=gAQBiAQB,gavranis,1:58:33,,GzVoD9yMnSc,1:58:33,TRUE
