Id,Product,Brand,Price,Country,Category
P00001,Heavy-Duty Rain Jacket,Grainhouse,328.75,Netherlands,clothing
P00002,Compact Immersion Blender 2.0,Falkon,125.33,Australia,kitchen
P00003,Slim Espresso Machine XL,Aurora Labs,167.39,Italy,kitchen
P00004,Vintage Webcam,Windmill Kitchen,358.85,Italy,electronics
P00005,Deluxe Bluetooth Speaker,Helios,188.98,Italy,electronics
P00006,Portable Hiking Boots Lite,BasecampGear,344.67,Japan,sports
P00007,Slim Yoga Mat,Lumen&Co,221.84,France,sports
P00008,Mini Fleece Hoodie,Verve Athletics,258.10,Australia,clothing
P00009,Vintage Tennis Racket XL,Aurora Labs,176.95,Australia,sports
P00010,Slim Puffer Vest S,Kestrel,102.42,USA,clothing
P00011,Slim Toaster Oven S,Helios,348.73,Canada,kitchen
P00012,Compact Espresso Machine Set of 2,Aurora Labs,329.38,Canada,kitchen
P00013,Vintage Cutting Board,Orbit Supply,234.05,UK,kitchen
P00014,Slim Fleece Hoodie,Windmill Kitchen,239.08,Netherlands,clothing
P00015,Vintage Office Chair Plus,Silverbirch,102.42,Germany,other
P00016,Mini Monitor Stand Plus,Kestrel,38.26,Canada,electronics
P00017,Slim Baseball Cap XL,Helios,74.48,Australia,clothing
P00018,Vintage Wool Scarf Plus,CedarCraft,166.79,Japan,clothing
P00019,Eco Linen Shirt 2.0,Verve Athletics,343.30,USA,clothing
P00020,Slim Soccer Ball Lite,Falkon,379.81,Poland,sports
P00021,Wireless Rain Jacket Max,BasecampGear,287.89,Germany,clothing
P00022,Premium Kettlebell,Kestrel,374.84,France,sports
P00023,Heavy-Duty Backpack 2.0,Falkon,313.09,Poland,other
P00024,Portable Baseball Cap Set of 2,Falkon,261.87,Spain,clothing
P00025,Premium Cutting Board,Silverbirch,374.77,Japan,kitchen
P00026,Eco Backpack,Grainhouse,72.22,Poland,other
P00027,Smart Chef Knife,Northwind,21.82,Japan,kitchen
P00028,Ultra Trail-Running Socks Plus,Grainhouse,394.54,Poland,sports
P00029,Portable Linen Shirt,Orbit Supply,98.57,Germany,clothing
P00030,Travel Toaster Oven S,Lumen&Co,341.49,Germany,kitchen
P00031,Eco Puffer Vest S,PeakForm,365.51,Japan,clothing
P00032,Deluxe Fitness Tracker Lite,Verve Athletics,321.81,Sweden,electronics
P00033,Premium Yoga Mat Lite,Falkon,164.45,Sweden,sports
P00034,Pro Cast-Iron Skillet Max,Aurora Labs,35.78,Canada,kitchen
P00035,Wireless Running Shoes,Lumen&Co,176.54,Netherlands,sports
P00036,Slim Stand Mixer,Silverbirch,166.43,Italy,kitchen
P00037,Wireless Cast-Iron Skillet Max,Silverbirch,229.73,USA,kitchen
P00038,Classic Toaster Oven,CedarCraft,378.92,Poland,kitchen
P00039,Eco Cast-Iron Skillet,Silverbirch,181.66,France,kitchen
P00040,Premium Rain Jacket Lite,Helios,304.92,Germany,clothing
P00041,Deluxe Backpack Plus,Kestrel,231.01,Spain,other
P00042,Premium Dumbbell Set Plus,PeakForm,313.90,USA,sports
P00043,Compact Dumbbell Set,Grainhouse,301.78,Spain,sports
P00044,Smart Tennis Racket Plus,Silverbirch,169.81,France,sports
P00045,Compact Laptop Sleeve Plus,CedarCraft,240.07,Poland,electronics
P00046,Eco Espresso Machine XL,BasecampGear,155.37,Italy,kitchen
P00047,Ultra Bluetooth Speaker XL,Tundra Works,268.36,Japan,electronics
P00048,Ultra Resistance Bands,Lumen&Co,169.05,Germany,sports
P00049,Heavy-Duty Rice Cooker XL,Quartz Home,45.30,Sweden,kitchen
P00050,Heavy-Duty Running Shoes Lite,CedarCraft,379.44,Poland,sports
P00051,Vintage Soccer Ball Lite,Helios,364.52,Poland,sports
P00052,Wireless Rain Jacket,Falkon,338.59,Spain,clothing
P00053,Wireless Soccer Ball XL,Orbit Supply,54.98,Australia,sports
P00054,Smart Blender Lite,BasecampGear,338.56,France,kitchen
P00055,Pro Cast-Iron Skillet Set of 2,Grainhouse,295.87,Italy,kitchen
P00056,Deluxe Running Shoes,Tundra Works,117.16,Germany,sports
P00057,Compact Cutting Board Set of 2,Quartz Home,330.11,UK,kitchen
P00058,Portable Monitor Stand,Windmill Kitchen,93.71,UK,electronics
P00059,Vintage Bluetooth Speaker,Orbit Supply,180.94,Canada,electronics
P00060,Eco Coffee Grinder Plus,Grainhouse,41.28,Netherlands,kitchen
P00061,Deluxe Laptop Sleeve S,BasecampGear,141.05,Spain,electronics
P00062,Premium Kettlebell Set of 2,Falkon,176.69,Poland,sports
P00063,Eco Resistance Bands Set of 2,Northwind,70.42,Germany,sports
P00064,Classic Desk Lamp S,PeakForm,173.36,France,electronics
P00065,Wireless Tennis Racket,CedarCraft,42.73,Australia,sports
P00066,Portable USB-C Hub XL,Northwind,80.60,Australia,electronics
P00067,Vintage Blender Set of 2,Kestrel,388.97,Canada,kitchen
P00068,Travel Gaming Mouse,Grainhouse,51.08,Netherlands,electronics
P00069,Mini Immersion Blender Lite,PeakForm,84.66,UK,kitchen
P00070,Folding Notebook Set 2.0,Windmill Kitchen,266.56,Netherlands,other
P00071,Premium Coffee Grinder 2.0,Orbit Supply,107.81,Spain,kitchen
P00072,Heavy-Duty Gaming Mouse XL,Windmill Kitchen,157.95,Canada,electronics
P00073,Classic Office Chair 2.0,Grainhouse,140.53,Canada,other
P00074,Folding Laptop Sleeve 2.0,BasecampGear,105.57,Germany,electronics
P00075,Premium Fitness Tracker Set of 2,Tundra Works,228.91,Germany,electronics
P00076,Pro Dumbbell Set XL,Aurora Labs,126.96,Netherlands,sports
P00077,Wireless Kettlebell Max,Orbit Supply,362.55,UK,sports
P00078,Travel Rice Cooker S,Kestrel,134.59,France,kitchen
P00079,Folding Notebook Set S,Tundra Works,211.94,Japan,other
P00080,Travel Desk Lamp,Tundra Works,61.54,France,electronics
P00081,Mini Chef Knife Lite,Quartz Home,164.49,Australia,kitchen
P00082,Portable Chef Knife XL,Lumen&Co,247.77,UK,kitchen
P00083,Deluxe Bluetooth Speaker,Verve Athletics,111.90,Germany,electronics
P00084,Folding Backpack Plus,Aurora Labs,185.65,Sweden,other
P00085,Smart Notebook Set Lite,Lumen&Co,122.35,Sweden,other
P00086,Wireless Toaster Oven,Northwind,206.91,France,kitchen
P00087,Pro Toaster Oven S,PeakForm,48.39,Sweden,kitchen
P00088,Travel Laptop Sleeve Max,Quartz Home,20.05,France,electronics
P00089,Compact Hiking Boots Set of 2,Falkon,9.78,Netherlands,sports
P00090,Heavy-Duty Chef Knife Lite,Northwind,77.06,USA,kitchen
